,,,Wind_DRCSouth,Wind_angola,Wind_eswatini,Wind_lesotho,Wind_namibia,Wind_southafrica,Wind_botswana,Wind_zimbabwe,Wind_malawi,Wind_tanzania,Wind_mozambique,Wind_zambia,PV_botswana,PV_angola_PV_mozambique_corr,PV_botswana_Wind_zimbabwe_corr,PV_botswana_Wind_botswana_corr,PV_DRC_Wind_tanzania_corr,PV_botswana_Wind_mozambique_corr,PV_botswana_Wind_zambia_corr,Wind_malawi_Wind_zimbabwe_corr,Wind_southafrica_Wind_zambia_corr,Wind_DRCSouth_Wind_mozambique_corr,PV_botswana_Wind_lesotho_corr,PV_zambia_Wind_southafrica_corr,PV_botswana_Wind_namibia_corr,PV_botswana_Wind_eswatini_corr,Wind_DRCSouth_Wind_eswatini_corr,PV_DRC_Wind_DRC_corr,PV_botswana_Wind_DRCSouth_corr,PV_botswana_Wind_angola_corr
1,1,20,0.142,0.257,0.489,0.099,0.806,0.827,0.789,0.131,0.064,0.046,0.341,0.125,0.0,0.0410230255961795,0.065049687894854,-0.0667989063627138,0.0660960750973367,0.0301853189693324,0.0741632479839608,0.1227430832679884,-0.1003192438210068,0.0156726756129798,0.0498297495279819,-0.0590728372352169,-0.0769997756451573,-0.0221053525714709,-0.0114774344612757,-0.0112128991178436,0.0242102213786787,0.0033010861810351
1,1,21,0.12,0.511,0.393,0.041,0.685,0.786,0.791,0.089,0.054,0.042,0.293,0.111,0.0,0.0410230255961795,0.0741190132679884,-0.0672307789995297,0.0666402920127595,0.0405502622529145,0.0771863564416722,0.1432885564023167,-0.0897531116070765,0.0251856487473082,0.0623540559956436,-0.0507810053944209,-0.0508714811177941,-0.0013754660043068,-0.0008542978941115,-0.0097163026004306,0.0289608203836538,-0.0515467386945867
1,1,22,0.116,0.684,0.273,0.013,0.573,0.72,0.777,0.054,0.037,0.039,0.246,0.107,0.0,0.0410230255961795,0.081676784412267,-0.0642076705418182,0.0670484546993267,0.0506992692180886,0.078050101715304,0.1643295720739585,-0.0669018083732456,0.0324283193940743,0.0684002729110665,-0.0374331785287492,-0.0266866134561025,0.0245368922046484,0.0156943125536496,-0.0053625672770475,0.0298245656572857,-0.0889037217791638
1,1,23,0.127,0.685,0.155,0.01,0.477,0.633,0.739,0.031,0.024,0.061,0.258,0.109,0.0,0.0410230255961795,0.0866433197356501,-0.0560020904423157,0.0640552616645008,0.0481080333971931,0.0776182290784881,0.1795381728202272,-0.0352595047662805,0.028320241782134,0.0690480818662904,-0.0198383158421821,-0.0059567268889383,0.0500173777767877,0.0294442348173312,-5.6452351674465e-05,0.0274492661547981,-0.0891196580975718
1,2,0,0.134,0.648,0.055,0.014,0.428,0.531,0.667,0.022,0.027,0.102,0.222,0.109,0.0,0.0410230255961795,0.0885867466013217,-0.0404546755169426,0.0584770382814163,0.0558817408598796,0.0776182290784881,0.1823345153575406,0.0014043571740179,0.0310849522298952,0.0681843365926586,0.0007901438593104,0.0046241527130516,0.0716110096175837,0.0398345645436994,0.0048414998871315,0.0259377119259424,-0.0811300143164773
1,2,1,0.127,0.533,0.011,0.018,0.383,0.444,0.574,0.018,0.05,0.114,0.224,0.096,0.0,0.0410230255961795,0.0894504918749535,-0.0203725979050023,0.0568443875351476,0.0554498682230637,0.0804254012177916,0.1745846974470928,0.033858265258595,0.032642233821935,0.0673205913190267,0.0183850065458775,0.0143412870414098,0.0811122076275339,0.0477491422800178,0.0076986386931016,0.0274492661547981,-0.0562973376995619
1,2,2,0.118,0.343,0.037,0.041,0.365,0.376,0.438,0.017,0.077,0.105,0.254,0.082,0.0,0.0410230255961795,0.0896664281933615,0.0089947413984802,0.0580688755948491,0.0489717786708249,0.083448509675503,0.1637945414769436,0.0614095373978985,0.0308698039711888,0.0623540559956436,0.0321373130135392,0.0182281407727531,0.075497863348927,0.0475907615586247,0.007970747150813,0.0293926930204697,-0.0152694372020494
1,2,3,0.11,0.183,0.317,0.077,0.401,0.291,0.291,0.015,0.084,0.102,0.311,0.065,0.0,0.0410230255961795,0.0900983008301774,0.0407373802044503,0.0584770382814163,0.0366634085215712,0.0871194270884384,0.161662734014257,0.0984041740894408,0.0244694159114873,0.0545803485329571,0.0493276960981163,0.0104544333100665,0.0150356941946981,0.010034927727779,0.0060659879468329,0.0311201835677334,0.0192803737432241
1,2,4,0.075,0.126,0.482,0.077,0.387,0.176,0.13,0.008,0.058,0.098,0.302,0.044,0.036,0.0313727010936919,0.0763370431187346,0.0629155617964901,0.0577198346744511,0.0321704652379891,0.0763739032078414,0.1754052690888839,0.1523379274476498,0.0320240547174574,0.0454809410702705,0.0542810179886636,0.0112306223647929,-0.0171604864023167,-0.0170823875707284,0.0039364192901165,0.0322297278463404,0.0263224006088958
1,2,5,0.023,0.138,0.603,0.021,0.371,0.058,0.139,0.004,0.083,0.124,0.359,0.091,0.173,0.0088869446260302,0.0183872540640083,0.0146264544581817,0.0248983321868889,0.0052291309096309,0.0162062973620702,0.1663529616261973,0.180008356054615,0.0281473412846216,0.0132570742792257,0.014898478685181,0.0033668268424048,-0.0092901216013217,-0.0500068228941115,0.0049811138174797,0.009923330831415,0.0057658028477017
1,2,6,0.014,0.104,0.656,0.11,0.274,0.0,0.073,0.008,0.101,0.115,0.378,0.147,0.353,0.0005846881583686,-0.058148550911116,-0.0557375768851018,-0.0249858074897279,-0.0140885098863889,-0.0440590693045964,0.1571627437157495,0.1719456443630727,0.0246812029761639,-0.0301212953725155,-0.0581765879814856,-0.0240429472869483,0.0369208132245488,-0.0646803737647582,-0.0050705175258038,-0.0329113766312714,-0.023066078744338
1,2,7,0.004,0.039,0.67,0.311,0.089,0.013,0.029,0.005,0.084,0.082,0.293,0.15,0.498,0.0142145595514034,-0.1205102344932056,-0.1271132961637087,-0.0764427704250513,-0.0529681914784287,-0.0898230741553426,0.1655372638650033,0.1662010783182966,0.0469690636726813,-0.0052918865416697,-0.1073876810163114,-0.1016598204212766,0.0799283223041508,-0.0708757153070468,-0.0123355264810276,-0.0705490383228137,-0.0658018784955817
1,2,8,0.004,0.009,0.68,0.467,0.04,0.088,0.017,0.002,0.061,0.056,0.179,0.147,0.595,0.0407181726111049,-0.1630901688215638,-0.175375556735848,-0.1189259077384842,-0.114396892970966,-0.1218498790060889,0.1765952526709734,0.1436580771988936,0.0754824487473082,0.0520221999011163,-0.0915087591257642,-0.1551941403217742,0.1112058274036533,-0.0733768894364,-0.01014406777456,-0.0948104273775401,-0.099802658346328
1,2,9,0.009,0.002,0.657,0.569,0.038,0.172,0.014,0.001,0.05,0.037,0.101,0.138,0.649,0.0587030385315029,-0.1867564504136036,-0.2016580962880869,-0.1484152194300265,-0.1644724153590257,-0.1431057319911635,0.1817493981933615,0.1199224712287443,0.0930926666577559,0.1036055842294745,-0.0648733213148189,-0.1781686467894359,0.1170873306374842,-0.0662723400582906,-0.0007753822024207,-0.1061514492680874,-0.1170516190428454
1,2,10,0.014,0.001,0.621,0.607,0.062,0.26,0.015,0.001,0.043,0.028,0.06,0.125,0.66,0.0429316144021497,-0.191500142950917,-0.2063362332283854,-0.1496033108479369,-0.1868566949610157,-0.1525135057473824,0.1847681116261973,0.0944166946118289,0.1010385402895967,0.1231116296274844,-0.0430944705685502,-0.1720366771376946,0.1040751056374842,-0.0562762643120219,0.0072499088423553,-0.1066274224024157,-0.1204688431721987
1,2,11,0.018,0.0,0.613,0.567,0.103,0.323,0.021,0.002,0.031,0.027,0.043,0.118,0.621,0.0191035491036422,-0.1742765330006682,-0.1857843216612212,-0.1408137334847528,-0.1773320432197222,-0.1419544160707655,0.1895025959545555,0.0742627168755105,0.1033693840706913,0.0960967737817133,-0.0274970899715353,-0.1403199035058538,0.0916941749160911,-0.0534498459040617,0.0054157113299175,-0.09564258857157,-0.1102937016299101
1,2,12,0.018,0.0,0.68,0.474,0.122,0.362,0.025,0.002,0.017,0.025,0.039,0.123,0.55,-0.0002922649510841,-0.1437291538961907,-0.1518835901935595,-0.1089359872160961,-0.1475853457072844,-0.1154021741553427,0.1955260228202271,0.0597306466018786,0.1043138537224326,0.0481849050006187,-0.0118891173347194,-0.1093772691774956,0.0980041874782802,-0.0692697125707284,-0.0046396205108784,-0.078878252253162,-0.0909613023761788
1,2,13,0.014,0.001,0.791,0.382,0.104,0.38,0.023,0.003,0.008,0.029,0.046,0.142,0.433,-0.0107632007719796,-0.0931734514086285,-0.0991231291239078,-0.0517618379623647,-0.0943766969510655,-0.0708603578618103,0.1989347728202272,0.0505693209799881,0.1044001840706913,0.0113391205478824,-0.0016668297725303,-0.0749769273864508,0.0877739923290265,-0.0970962245110269,-0.006134031456152,-0.0521207696660973,-0.0588866230229449
1,2,14,0.011,0.001,0.845,0.288,0.054,0.371,0.019,0.005,0.006,0.032,0.066,0.162,0.276,-0.0007821002744672,-0.0256618941946981,-0.0276686113378381,-0.004471157614106,-0.0249136979460904,-0.0184064928120591,0.1988623564023167,0.0502292283182965,0.1008421999910893,-0.0025083385317195,0.0115127926155293,-0.0237500462919234,0.0275313762842503,-0.1114376741378926,-0.0007030040929679,-0.0146025268800277,-0.0162945148139897
1,2,15,0.012,0.001,0.822,0.183,0.016,0.359,0.017,0.011,0.007,0.055,0.098,0.195,0.113,0.014677511417075,0.0433613864023167,0.0476239614233558,0.0424616655202222,0.0394027935961981,0.0281478978595826,0.1956483937157495,0.0481016939899383,0.0926796547174574,0.0151070698016138,0.0262523204762258,0.0446140855488725,-0.0448153618998292,-0.1054106038642607,0.0071764416781762,0.024922675110022,0.0279253172755624
1,2,16,0.019,0.008,0.697,0.101,0.04,0.366,0.03,0.041,0.015,0.091,0.136,0.274,0.021,0.0339164867902094,0.076267816253063,0.0876540126671369,0.0599736347988292,0.0672117149892329,0.0379052943769956,0.1785848459545555,0.0328438963531224,0.0810656766080047,0.0445938892045989,0.0339908040583153,0.0798097412702656,-0.0605023415018192,-0.0729733388145095,0.0105557774990718,0.045832922871216,0.0515191958825276
1,2,17,0.046,0.155,0.536,0.059,0.458,0.501,0.117,0.112,0.038,0.115,0.141,0.364,0.0,0.0410230255961795,0.0691524779446053,0.0783102996074354,0.0567083333062919,0.0733725826509244,0.0225544678844583,0.1388110541635108,0.0035415698605851,0.0707158119313878,0.0584672022643003,0.0068573378891611,-0.0018539368391871,-0.0322543595366451,-0.0310864513766985,0.0098755063547931,0.0449401079458429,0.025326590658647
1,2,18,0.096,0.507,0.394,0.053,0.862,0.663,0.164,0.204,0.091,0.133,0.102,0.43,0.0,0.0410230255961795,0.049286336651073,0.0681612926422613,0.0542593571868889,0.0817940990688349,0.0083026708695329,0.0868364064023167,-0.0049251293931462,0.0598929880507908,0.0597628201747481,-0.0259055098720328,-0.089092209476003,-0.0015914023227147,-0.0011652899339125,0.0100115605836489,0.0341432920254449,-0.0506829934209549
1,2,19,0.146,0.77,0.331,0.06,0.906,0.789,0.108,0.304,0.177,0.16,0.053,0.466,0.0,0.0410230255961795,0.0276927048102769,0.0802537264731071,0.0505858930077844,0.0923749786708249,0.0005289634068463,0.0377620571485854,-0.0006224331244894,0.046251338299547,0.0582512659458924,-0.051387724797406,-0.0985934074859533,0.0120125857369867,0.0060145958869829,0.0106918317279275,0.0233464761050469,-0.1074742451622484
1,2,20,0.194,0.874,0.264,0.066,0.855,0.798,0.069,0.367,0.308,0.21,0.016,0.454,0.0,0.0410230255961795,0.0140887167505754,0.0886752428910175,0.0437831815649983,0.1003646224519194,0.0031201992277418,0.0106644534172421,-0.0038015961841909,0.0279418557124823,0.0569556480354446,-0.0532078830063612,-0.0875806552471473,0.02648031907032,0.007372211807381,0.0112360486433504,0.0129815328214648,-0.1299316222766763
1,2,21,0.241,0.847,0.248,0.086,0.738,0.779,0.195,0.372,0.42,0.307,0.002,0.402,0.0,0.0410230255961795,0.0130090351585356,0.0614672667716145,0.0305859213659934,0.1033877309096309,0.0143488877849558,0.0030997735664958,-0.0162198910846884,0.0062804606876067,0.0526369216672854,-0.0493653267874557,-0.0623161059934159,0.0299353001648474,0.0018184698919581,0.0108278859567832,0.0028325258562906,-0.1241013416796613
1,2,22,0.284,0.727,0.273,0.127,0.61,0.738,0.446,0.296,0.405,0.443,0.0,0.347,0.0,0.0410230255961795,0.0294201953575406,0.0072672508512165,0.0120825462416153,0.1038196035464468,0.0262253852973936,0.0090538720739585,-0.0246655732986188,-0.0143671910536867,0.043783532612559,-0.0410734949466597,-0.034676257237197,0.0245368922046484,-0.0033955650582906,0.0087870725239474,-0.0064527358352516,-0.0981889834707061
1,2,23,0.317,0.556,0.307,0.177,0.56,0.631,0.64,0.192,0.361,0.548,0.004,0.328,0.0,0.0410230255961795,0.0518775724719685,-0.0346243949199277,-0.0022031477882354,0.102955858272815,0.0303281753471448,0.0265357526709734,-0.0134962308856835,-0.0299816666755773,0.032986716692161,-0.019433836240192,-0.023879441316799,0.0171950573787777,-0.0050073544861513,0.0047054456582757,-0.0135786343427142,-0.0612638730229449
1,3,0,0.3,0.385,0.343,0.251,0.566,0.51,0.724,0.123,0.339,0.564,0.035,0.357,0.0,0.0410230255961795,0.0667771784421177,-0.0527630456661963,-0.0043800154499269,0.0962618324021682,0.024066022113314,0.0409603937157495,0.0027758719750129,-0.0204539094616469,0.017007429129972,0.0050371796802059,-0.0251750592272468,0.0094213499160911,-0.0020018675458528,0.0003517103348926,-0.0099077169297789,-0.0243387625751837
1,3,1,0.245,0.27,0.324,0.381,0.613,0.402,0.701,0.093,0.35,0.548,0.132,0.413,0.0,0.0410230255961795,0.0732552679943565,-0.0477965103428133,-0.0022031477882354,0.0753160095165961,0.0119735882824682,0.0412022907306749,0.0073696416267542,0.0031800447672087,-0.0110642922630627,0.0268790781876686,-0.0353240661924209,0.0135241399658424,0.0005710256133511,-0.0074033807098834,0.0019687805826588,0.0004939140417316
1,3,2,0.2,0.221,0.277,0.527,0.692,0.304,0.632,0.088,0.405,0.537,0.28,0.484,0.0,0.0410230255961795,0.0743349495863963,-0.032896904372664,-0.0007065512708225,0.0433574343922179,-0.0033578903244969,0.0228760929694809,-0.003590689467773,0.010866130339348,-0.0425909947506249,0.046698578685181,-0.0523830353466498,0.0236731469310165,0.0059329040959382,-0.0248183220034157,0.011685914911017,0.0110747936437216
1,3,3,0.174,0.164,0.212,0.639,0.728,0.204,0.542,0.079,0.421,0.484,0.371,0.551,0.0,0.0406074002230452,0.076278376452068,-0.0134626357159476,0.0065043228585307,0.0237072294170936,-0.0178256236578302,0.0178222534172421,-0.0273164934478725,0.0087959353144724,-0.0667758624123165,0.0669225587846835,-0.0601567428093363,0.0377090076275339,0.0139909217576297,-0.0396482329486893,0.017300259189624,0.0233831637929754
1,3,4,0.104,0.135,0.221,0.5,0.616,0.076,0.324,0.065,0.358,0.346,0.266,0.567,0.039,0.0275924374120999,0.0649789386411227,0.0275409522193757,0.0250939995998242,0.0380038085215712,-0.0174371402001187,0.0416650161038092,-0.0452254526518526,0.0322434278517858,-0.0301214055715205,0.0836311140085641,-0.029475037834212,0.029306002030519,0.0248639807128536,-0.024906015535754,0.0265612223737036,0.0242911118029256
1,3,5,0.023,0.129,0.232,0.397,0.402,0.011,0.412,0.122,0.272,0.369,0.207,0.687,0.175,0.0041358211185676,0.0127002789396302,0.0027695303288284,0.0118937282067894,0.0112078751882379,-0.0089466476628053,0.0618792467008242,-0.1145000627264795,0.0632771880507908,-0.0027525040789831,0.0645661901279671,0.0019409721160367,0.0063299920802702,0.0357377373048934,0.0024535317279275,0.0094610960055444,0.0058656550865077
1,3,6,0.013,0.147,0.109,0.494,0.54,0.009,0.513,0.179,0.358,0.2,0.279,0.791,0.359,0.0014504869145875,-0.0362301300155936,0.0047705154034553,-0.0112634390817677,-0.0288685427222098,0.0461452438794831,0.0287313758053018,-0.1696314878508577,0.0486546149164624,0.0234965904483799,0.0090665314214994,0.01295950544937,-0.0397188019495804,0.0669414813347441,-0.0015134747397341,-0.0344951447904754,-0.0179240643164773
1,3,7,0.003,0.158,0.026,0.607,0.444,0.119,0.47,0.207,0.359,0.076,0.322,0.822,0.503,0.0180997459941895,-0.0646595946922105,-0.0027714855915695,-0.0596859782608722,-0.045582285010767,0.1014914717401796,0.0253294474470928,-0.1470440627264795,0.0398744467572584,0.0795851566175342,-0.0398273337526298,-0.001554285595406,-0.1035238397605257,0.0905605288471819,0.009744319787629,-0.0720866890690824,-0.0328077369532932
1,3,8,0.001,0.19,0.006,0.711,0.364,0.266,0.379,0.19,0.268,0.032,0.317,0.799,0.6,0.0398747533324979,-0.0930374205628573,-0.0386577770094799,-0.0964356163205737,-0.062905045209772,0.1269523932575926,0.0492854228202272,-0.0888872976767283,0.041457609941338,0.1464199316175342,-0.0491454904690478,-0.0328045796252568,-0.1461862451087844,0.0963441375536496,0.046001151628425,-0.0972132054869928,-0.031603568545333
1,3,9,0.003,0.192,0.002,0.756,0.379,0.422,0.292,0.172,0.16,0.021,0.309,0.733,0.637,0.0447293171384681,-0.1095796235479319,-0.0790145375816192,-0.1149038387086334,-0.0723337128714635,0.1113925540784881,0.081054012372466,-0.0298695797662805,0.0431389731254176,0.1794736285080815,-0.0219897830063612,-0.0296489582322219,-0.1619538181187347,0.0965873467576297,0.067127175509022,-0.1057364224024157,-0.0338060717791638
1,3,10,0.008,0.155,0.004,0.763,0.465,0.561,0.24,0.16,0.101,0.018,0.316,0.666,0.625,0.04269165121807,-0.1113654504136036,-0.0980339938005247,-0.1222581649524145,-0.0674088103839013,0.0808106829342095,0.1008538899844063,0.0051546887660577,0.0405572109363629,0.1772222101001212,0.0041947214712507,0.0063754915190217,-0.1565201280689834,0.0941719608123561,0.0617266844642459,-0.1006776950392316,-0.0479779802368753
1,3,11,0.014,0.125,0.008,0.735,0.545,0.676,0.224,0.154,0.081,0.014,0.342,0.593,0.583,0.0254578293275228,-0.1021335519061409,-0.0938415194224152,-0.106640129131519,-0.0509440561550456,0.0457179185063488,0.1086415034172421,0.0175731901342169,0.0333254298418355,0.1487484023886784,0.014780934406574,0.0350859920165342,-0.1389814039396301,0.0909157098173312,0.0377735282453404,-0.0881383816063958,-0.0540638235204574
