,,,Wind_DRCSouth,Wind_angola,Wind_eswatini,Wind_lesotho,Wind_namibia,Wind_southafrica,Wind_botswana,Wind_zimbabwe,Wind_malawi,Wind_tanzania,Wind_mozambique,Wind_zambia,PV_botswana,PV_angola_PV_mozambique_corr,PV_botswana_Wind_zimbabwe_corr,PV_botswana_Wind_botswana_corr,PV_DRC_Wind_tanzania_corr,PV_botswana_Wind_mozambique_corr,PV_botswana_Wind_zambia_corr,Wind_malawi_Wind_zimbabwe_corr,Wind_southafrica_Wind_zambia_corr,Wind_DRCSouth_Wind_mozambique_corr,PV_botswana_Wind_lesotho_corr,PV_zambia_Wind_southafrica_corr,PV_botswana_Wind_namibia_corr,PV_botswana_Wind_eswatini_corr,Wind_DRCSouth_Wind_eswatini_corr,PV_DRC_Wind_DRC_corr,PV_botswana_Wind_DRCSouth_corr,PV_botswana_Wind_angola_corr
1,1,0,0.243,0.37,0.017,0.122,0.573,0.775,0.832,0.264,0.458,0.215,0.465,0.001,0.0,0.0410230255961795,0.0363301575465953,-0.076084168054256,0.0431029104207197,0.0034092154867453,0.1009393514665478,0.0022633944620182,-0.1122313995423999,0.000175522379149,0.0448632142045989,-0.0485563675834756,-0.0266866134561025,0.0798165897170862,0.0041093318322566,-0.0099884110581421,0.0024006532194747,-0.0210997177990643
1,1,1,0.229,0.33,0.026,0.27,0.47,0.67,0.809,0.233,0.485,0.258,0.42,0.03,0.0,0.0410230255961795,0.0430241834172421,-0.071117632730873,0.0372525785799237,0.0131263498151035,0.094677198232717,-0.0026991719558921,-0.0592314907115541,0.0015268387970594,0.0129046390802207,-0.027321188478998,-0.0044451726600826,0.0778731628514145,0.009058098250167,-0.006587055336749,0.0054237616771862,-0.0124622650627459
1,1,2,0.123,0.303,0.018,0.462,0.365,0.559,0.751,0.246,0.459,0.294,0.367,0.159,0.0,0.0410230255961795,0.0402170112779386,-0.0585933262632113,0.0323546263411178,0.0245709746907254,0.0668214131580901,0.0023193034172421,-0.0074555806369273,0.0149195960109898,-0.0285551340541075,-0.0048725705685502,0.0182281407727531,0.0796006533986782,0.0483338412849929,-0.0038659707596346,0.0283130114284299,-0.006631984465731
1,1,3,0.094,0.281,0.002,0.605,0.267,0.39,0.66,0.384,0.348,0.309,0.205,0.384,0.0,0.0406074002230452,0.0104177993376401,-0.0389431212880869,0.0303138129082819,0.059552658272815,0.0182357415162991,0.0059559616261973,0.0122373391391921,0.0441584706378554,-0.0594340275864458,0.0293059557996089,0.0393898999767332,0.0830556344932056,0.0615859963844954,-0.0019612115556545,0.0345751646622608,-0.0018813854607559
1,1,4,0.098,0.24,0.0,0.507,0.174,0.195,0.47,0.4,0.224,0.249,0.121,0.465,0.04,0.0281692892777715,0.0056730271983366,0.0016985951298235,0.0379114529580332,0.0632997866310239,0.0006069146506274,0.0079790661038093,0.0011725521988935,0.0561691810856166,-0.0311827211187841,0.0503877408742357,0.0484554004742457,0.0680222981747976,0.0603597103148436,0.0014189740164847,0.027466722871216,0.005680511056657
1,1,5,0.042,0.109,0.0,0.701,0.108,0.097,0.504,0.346,0.19,0.331,0.135,0.465,0.175,0.0070499217404581,0.0035305436162471,-0.0009966109647038,0.0124609136545506,0.014155290113611,0.0001412150237617,0.0242738496858988,0.0015106156317294,0.0733476686478057,-0.0151971448750031,0.0215624518195094,0.013976249727977,0.015827217950917,0.0820110028521571,0.0046283192901165,0.0086833059557931,0.0066843814546669
1,1,6,0.02,0.057,0.003,0.692,0.077,0.077,0.362,0.38,0.23,0.33,0.125,0.713,0.355,0.0004497907703089,-0.007265350911116,-0.0163614821089824,-0.0094739777633598,-0.0494771974485779,0.0340080752227667,0.0126146571485854,-0.1119813191941412,0.0832961800905918,0.0503742446772357,-0.0209539138521323,-0.0517893214163015,-0.0533490313028142,0.0898145155387242,-0.0039239657845102,-0.0325572293675899,-0.0299386464060295
1,1,7,0.008,0.017,0.021,0.639,0.065,0.151,0.173,0.316,0.191,0.296,0.101,0.798,0.495,0.01677724661608,-0.032439695189723,-0.0855761622084849,-0.0301704880867429,-0.1059850541649958,0.0919655403968961,0.0326011944620182,-0.1265166836220019,0.0934724547174574,0.0862972849757431,-0.0444411466879532,-0.1072761054959035,-0.1020341163774411,0.0899879647924556,-0.0106943568292864,-0.0686824313576396,-0.0712414175503081
1,1,8,0.008,0.014,0.056,0.682,0.056,0.236,0.076,0.202,0.147,0.231,0.088,0.784,0.584,0.0433101750986671,-0.0847447399658424,-0.1485705989000272,-0.053828112091718,-0.1445710193391252,0.1161426320635627,0.0747036049097794,-0.0943202043931462,0.0966719810856166,0.1296462659458924,-0.0468567153446696,-0.1448015627098339,-0.1216929774470928,0.0813738553397193,-0.0137045752372466,-0.0905868811088834,-0.0950661794906066
1,1,9,0.009,0.026,0.104,0.746,0.013,0.311,0.036,0.111,0.134,0.165,0.087,0.71,0.631,0.062041405695682,-0.1333370394683299,-0.1841449124572411,-0.0839788750270414,-0.1634471218266874,0.1002587871630652,0.1084050086411227,-0.054084810985186,0.0965243104388504,0.1727655596026088,-0.0346518864889483,-0.1811397791277443,-0.117309541253063,0.0692775892949432,-0.0163891001128684,-0.1017393358352515,-0.1022249190428454
1,1,10,0.011,0.041,0.166,0.783,0.013,0.377,0.022,0.061,0.119,0.112,0.099,0.588,0.636,0.0574001635315029,-0.1559464474285289,-0.1922440770094799,-0.1204617976638573,-0.1603752979460904,0.050218769874508,0.1308463295366451,-0.0188778366070765,0.0928193253642236,0.1903891092294745,-0.0228586437028786,-0.1833218512670478,-0.0926787441137595,0.0536390492451919,-0.021975763296948,-0.1021247955367441,-0.097155400386129
1,1,11,0.011,0.051,0.23,0.791,0.046,0.426,0.019,0.037,0.102,0.076,0.123,0.447,0.602,0.0358552402727964,-0.1525896533986782,-0.1778420115865943,-0.1307918454250513,-0.1381289755580307,-0.0082809219165367,0.146024362372466,0.0023360137660577,0.0869845074537758,0.1780675035080814,-0.0135872546481522,-0.1557436592272468,-0.0604692408799287,0.0380795348173312,-0.0236974379238137,-0.0938588034969431,-0.0854309949134922
1,1,12,0.011,0.052,0.328,0.779,0.14,0.445,0.02,0.023,0.079,0.057,0.151,0.34,0.518,0.0034084287056322,-0.1236179837469369,-0.1388449613378381,-0.1091798251514195,-0.0996169954585282,-0.0387999671901685,0.160609334014257,0.0115485161292418,0.0801772198915868,0.1356986900752456,-0.0069911835038736,-0.0934628612172966,-0.0177100612779386,0.0142540283496695,-0.0194499802123709,-0.0734369408103759,-0.066540796903542
1,1,13,0.012,0.045,0.491,0.749,0.259,0.469,0.029,0.015,0.06,0.045,0.185,0.279,0.366,-0.0140275533839199,-0.062613287229524,-0.0676268887010222,-0.0700737860966931,-0.044387045209772,-0.0284295084837008,0.1716766086411227,0.0124860499600876,0.0716154397920843,0.0629125000254944,-0.0007750790262617,-0.028574290073018,0.0156621128514145,-0.0252697401826687,-0.0121756637944605,-0.0363330303626147,-0.0341075710328952
1,1,14,0.018,0.034,0.666,0.698,0.331,0.5,0.052,0.013,0.045,0.039,0.226,0.23,0.257,-0.0138179139560592,-0.0172157339956931,-0.0175610724074899,-0.0152502877136085,-0.0104625357570357,-0.0097916195533526,0.178788186253063,0.0083235528207841,0.0601598975035271,0.015121235970768,0.0025914861478676,-0.0048625323615752,0.0114719515330066,-0.0659640687896339,-0.0025866045904804,-0.0096958502631122,-0.0097849543662285
1,1,15,0.023,0.018,0.703,0.61,0.382,0.534,0.103,0.023,0.036,0.051,0.291,0.182,0.1,0.0090143665165775,0.0474463326709734,0.0436679478661419,0.0375290071868889,0.0220033289195811,0.0332099151481399,0.1782068593873913,0.0002597998357095,0.0438633253642236,-0.0324898410192817,0.0001398901279671,0.0078157805737481,-0.0366787470988341,-0.0731185641876438,0.006211951628425,0.0267949019756936,0.029481134937254
1,1,16,0.024,0.005,0.714,0.497,0.462,0.593,0.241,0.067,0.054,0.07,0.364,0.185,0.019,0.0323372559444382,0.0719299615266949,0.0469997586870374,0.0628307736047993,0.0229998105116209,0.0558215259690354,0.1524725220739585,-0.0164664490448874,0.0268749661602435,-0.0329353702481374,-0.0116906307675552,-0.0024785562421722,-0.0644709984669933,-0.075333485953813,0.0053857168025543,0.0453184761050469,0.0526385794646172
1,1,17,0.034,0.0,0.739,0.432,0.682,0.754,0.514,0.128,0.097,0.066,0.409,0.199,0.0,0.0410230255961795,0.0656974968500779,-0.0074164188005247,0.0633749905202222,0.0155016493175911,0.0581839604217717,0.1139253646112719,-0.0590345364826984,0.015801801981139,-0.0220770445018687,-0.0443093317625801,-0.0502236721625702,-0.076089432173461,-0.077562723516002,-0.0015530488690873,0.0475313437667384,0.0587967200118809
1,1,18,0.078,0.002,0.688,0.305,0.854,0.851,0.688,0.16,0.129,0.058,0.397,0.183,0.0,0.0410230255961795,0.0587875346610232,-0.0449893382035098,0.064463424351068,0.0180928851384866,0.0616389415162991,0.093231036253063,-0.0902286388458825,0.0147565363094972,0.0053468679359421,-0.0639265924590975,-0.0873647189287393,-0.065076679934655,-0.0530764653070468,-0.0064510011078933,0.0380301457567881,0.0583648473750649
1,1,19,0.133,0.059,0.591,0.183,0.869,0.85,0.762,0.16,0.096,0.051,0.366,0.152,0.0,0.0410230255961795,0.0587875346610232,-0.0609686257656988,0.065415803953058,0.0247869110091334,0.0683329673869458,0.1022151138650033,-0.0997110732986188,0.0139028328269102,0.0316910987817133,-0.0637243526581025,-0.0906037637048587,-0.0441308570490829,-0.0247527385657533,-0.0094441941427192,0.0261536482443503,0.0460564772258112
